Nr,Code,Municipality,Seat,County,"Population
 (30 September 2013)","Total
area (km2)","Land
area
 (km2)","Inland
water
area (km2)","Sea
water
area (km2)","Density (people
/km2)"
1,1440,Ale Municipality,Nödinge-Nol,Västra Götaland County,"<span data-sort-value=""7004279470000000000♠"">27,947","<span data-sort-value=""7002331550000000000♠"">331.55","<span data-sort-value=""7002316510000000000♠"">316.51","<span data-sort-value=""7001150400000000000♠"">15.04","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001883000000000000♠"">88.30"
2,1489,Alingsås Municipality,Alingsås,Västra Götaland County,"<span data-sort-value=""7004385530000000000♠"">38,553","<span data-sort-value=""7002551169999999999♠"">551.17","<span data-sort-value=""7002472030000000000♠"">472.03","<span data-sort-value=""7001791400000000000♠"">79.14","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001816700000000000♠"">81.67"
3,0764,Alvesta Municipality,Alvesta,Kronoberg County,"<span data-sort-value=""7004192190000000000♠"">19,219","<span data-sort-value=""7003107426000000000♠"">1,074.26","<span data-sort-value=""7002974190000000000♠"">974.19","<span data-sort-value=""7002100070000000000♠"">100.07","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001197300000000000♠"">19.73"
4,0604,Aneby Municipality,Aneby,Jönköping County,"<span data-sort-value=""7003636000000000000♠"">6,360","<span data-sort-value=""7002553890000000000♠"">553.89","<span data-sort-value=""7002517760000000000♠"">517.76","<span data-sort-value=""7001361300000000000♠"">36.13","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001122800000000000♠"">12.28"
5,1984,Arboga Municipality,Arboga,Västmanland County,"<span data-sort-value=""7004134370000000000♠"">13,437","<span data-sort-value=""7002419370000000000♠"">419.37","<span data-sort-value=""7002325430000000000♠"">325.43","<span data-sort-value=""7000600000000000000♠"">6.00","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001412900000000000♠"">41.29"
6,2506,Arjeplog Municipality,Arjeplog,Norrbotten County,"<span data-sort-value=""7003299600000000000♠"">2,996","<span data-sort-value=""7004144940900000000♠"">14,494.09","<span data-sort-value=""7004125567700000000♠"">12,556.77","<span data-sort-value=""7003193732000000000♠"">1,937.32","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""6999240000000000000♠"">0.24"
7,2505,Arvidsjaur Municipality,Arvidsjaur,Norrbotten County,"<span data-sort-value=""7003645400000000000♠"">6,454","<span data-sort-value=""7003612632000000000♠"">6,126.32","<span data-sort-value=""7003565597000000000♠"">5,655.97","<span data-sort-value=""7002470350000000000♠"">470.35","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000113999999999999♠"">1.14"
8,1784,Arvika Municipality,Arvika,Värmland County,"<span data-sort-value=""7004258350000000000♠"">25,835","<span data-sort-value=""7003195613000000000♠"">1,956.13","<span data-sort-value=""7003164906000000000♠"">1,649.06","<span data-sort-value=""7002307070000000000♠"">307.07","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001156700000000000♠"">15.67"
9,1882,Askersund Municipality,Askersund,Örebro County,"<span data-sort-value=""7004109930000000000♠"">10,993","<span data-sort-value=""7003101974000000000♠"">1,019.74","<span data-sort-value=""7002815990000000000♠"">815.99","<span data-sort-value=""7001608800000000000♠"">60.88","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001134700000000000♠"">13.47"
10,2084,Avesta Municipality,Avesta,Dalarna County,"<span data-sort-value=""7004215490000000000♠"">21,549","<span data-sort-value=""7002669080000000000♠"">669.08","<span data-sort-value=""7002613250000000000♠"">613.25","<span data-sort-value=""7001558300000000000♠"">55.83","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001351400000000000♠"">35.14"
11,1460,Bengtsfors Municipality,Bengtsfors,Västra Götaland County,"<span data-sort-value=""7003953200000000000♠"">9,532","<span data-sort-value=""7003105919000000000♠"">1,059.19","<span data-sort-value=""7002882930000000000♠"">882.93","<span data-sort-value=""7002176260000000000♠"">176.26","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001108000000000000♠"">10.80"
12,2326,Berg Municipality,Svenstavik,Jämtland County,"<span data-sort-value=""7003718000000000000♠"">7,180","<span data-sort-value=""7003614545000000000♠"">6,145.45","<span data-sort-value=""7003571134000000000♠"">5,711.34","<span data-sort-value=""7002434110000000000♠"">434.11","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000126000000000000♠"">1.26"
13,2403,Bjurholm Municipality,Bjurholm,Västerbotten County,"<span data-sort-value=""7003244200000000000♠"">2,442","<span data-sort-value=""7003136377000000000♠"">1,363.77","<span data-sort-value=""7003130675000000000♠"">1,306.75","<span data-sort-value=""7001570200000000000♠"">57.02","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000187000000000000♠"">1.87"
14,1260,Bjuv Municipality,Bjuv,Skåne County,"<span data-sort-value=""7004148130000000000♠"">14,813","<span data-sort-value=""7002115750000000000♠"">115.75","<span data-sort-value=""7002115280000000000♠"">115.28","<span data-sort-value=""6999470000000000000♠"">0.47","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002128500000000000♠"">128.50"
15,2582,Boden Municipality,Boden,Norrbotten County,"<span data-sort-value=""7004277620000000000♠"">27,762","<span data-sort-value=""7003428513000000000♠"">4,285.13","<span data-sort-value=""7003400786000000000♠"">4,007.86","<span data-sort-value=""7002277269999999999♠"">277.27","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7000693000000000000♠"">6.93"
16,1443,Bollebygd Municipality,Bollebygd,Västra Götaland County,"<span data-sort-value=""7003856900000000000♠"">8,569","<span data-sort-value=""7002282390000000000♠"">282.39","<span data-sort-value=""7002263190000000000♠"">263.19","<span data-sort-value=""7001192000000000000♠"">19.20","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001325600000000000♠"">32.56"
17,2183,Bollnäs Municipality,Bollnäs,Gävleborg County,"<span data-sort-value=""7004261300000000000♠"">26,130","<span data-sort-value=""7003197670000000000♠"">1,976.70","<span data-sort-value=""7003181435000000000♠"">1,814.35","<span data-sort-value=""7002162350000000000♠"">162.35","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001144000000000000♠"">14.40"
18,0885,Borgholm Municipality,Borgholm,Kalmar County,"<span data-sort-value=""7004106340000000000♠"">10,634","<span data-sort-value=""7003365483000000000♠"">3,654.83","<span data-sort-value=""7002678650000000000♠"">678.65","<span data-sort-value=""7000346000000000000♠"">3.46","<span data-sort-value=""7003297272000000000♠"">2,972.72","<span data-sort-value=""7001156700000000000♠"">15.67"
19,2081,Borlänge Municipality,Borlänge,Dalarna County,"<span data-sort-value=""7004498250000000000♠"">49,825","<span data-sort-value=""7002635810000000000♠"">635.81","<span data-sort-value=""7002583870000000000♠"">583.87","<span data-sort-value=""7001519400000000000♠"">51.94","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7001853400000000000♠"">85.34"
20,1490,Borås Municipality,Borås,Västra Götaland County,"<span data-sort-value=""7005105748000000000♠"">105,748","<span data-sort-value=""7002967540000000000♠"">967.54","<span data-sort-value=""7002909900000000000♠"">909.90","<span data-sort-value=""7001576400000000000♠"">57.64","<span data-sort-value=""5000000000000000000♠"">0.00","<span data-sort-value=""7002116220000000000♠"">116.22"
21,0127,Botkyrka Municipality,Tumba,Stockholm County,"<span data-sort-value=""7004873860000000000♠"">87,386","<span data-sort-value=""7002222320000000000♠"">222.32","<span data-sort-value=""7002194170000000000♠"">194.17","<span data-sort-value=""7001100600000000000♠"">10.06","<span data-sort-value=""7001127500000000000♠"">12.75","<span data-sort-value=""7002450050000000000♠"">450.05"
